Manufacturer,Model,Application,Takeoff Thrust [lbf],Takeoff Thrust [N],Thrust (Cruise) [lbf],Thrust (Cruise) [N],"SFC (h=0,M=0) [lb/lbf hr]","SFC (h=0,M=0) [kg/s.N]",SFC (Cruise) [lb/lbf hr],SFC (Cruise) [kg/s.N],OPR_ Sea lvl,Cruise Altitude (h) [ft],Cruise Altitude (h) [Km],Cruise Temperature [K],Mach Number,C_a [Kg/N.m],C_b [Kg/N.s],BPR,Entry into service,Dry Mass [lb],Dry Mass [kg],Number of spools,Fan Diameter [in],Fan Diameter [m],Length [in],Length [m],Width/Diameter [in],Width/Diameter [m],Engine Volume [m^3],,,,,
GE,CF34-8E5A1,ERJ-170/-170LR (option),NA,NA,NA,NA,NA,NA,0.680,1.9109E-05,NA,NA,NA,NA,NA,NA,NA,5.10,NA,NA,NA,2,46.20,1.1735,128.00,3.2512,52.00,1.3208,4.4546,,,,,
GE,CF34-8E5A2,NA,NA,NA,NA,NA,NA,NA,0.680,1.9109E-05,NA,NA,NA,NA,NA,NA,NA,5.10,NA,NA,NA,2,46.20,1.1735,128.00,3.2512,52.00,1.3208,4.4546,,,,,
GE,CF34-8E6,NA,NA,NA,NA,NA,NA,NA,0.680,1.9109E-05,NA,NA,NA,NA,NA,NA,NA,5.10,NA,NA,NA,2,46.20,1.1735,128.00,3.2512,52.00,1.3208,4.4546,,,,,
GE,CF34-8E6A1,NA,NA,NA,NA,NA,NA,NA,0.680,1.9109E-05,NA,NA,NA,NA,NA,NA,NA,5.10,NA,NA,NA,2,46.20,1.1735,128.00,3.2512,52.00,1.3208,4.4546,,,,,
GE,CF6-45A,747-100SR/-100SR(SF),46500,206842,11250,50042,0.350,9.8341E-06,0.630,1.7704E-05,26.30,35000,10.668,218.818,0.80,3.8503E-08,8.5695E-06,4.64,1976,8768,3977,2,86.40,2.1946,188.00,4.7752,105.00,2.6670,26.6764,,,,,
GE,CF6-45A2,747-100SR/-100SR(SF),46500,206842,11250,50042,0.350,9.8341E-06,0.630,1.7704E-05,26.30,35000,10.668,218.818,0.80,3.8503E-08,8.5695E-06,4.64,1976,8768,3977,2,86.40,2.1946,188.00,4.7752,105.00,2.6670,26.6764,,,,,
GE,CF6-45B,747-100SR/-100SR(SF),46500,206842,11250,50042,0.350,9.8341E-06,0.630,1.7704E-05,26.30,35000,10.668,218.818,0.80,3.8503E-08,8.5695E-06,4.64,1976,8768,3977,2,86.40,2.1946,188.00,4.7752,105.00,2.6670,26.6764,,,,,
GE,CF6-45B2,"747-100SR/-100SR(SF), A300B10 (A310) (candidate engine)",46500,206842,11250,50042,0.350,9.8341E-06,0.630,1.7704E-05,26.30,35000,10.668,218.818,0.80,3.8503E-08,8.5695E-06,4.64,1976,8768,3977,2,86.40,2.1946,188.00,4.7752,105.00,2.6670,26.6764,,,,,
GE,CF6-50,DC-10-30/-30F,49000,217963,NA,NA,NA,NA,0.645,1.8125E-05,NA,35000,10.668,218.818,0.80,NA,NA,4.40,1970,8100,3674,2,92.00,2.3368,183.00,4.6482,92.00,2.3368,19.9351,,,,,
GE,CF6-50A,"DC-10-30/-30F, A300B1, A300B2-1A",48334,215000,11250,50042,0.389,1.0930E-05,0.654,1.8378E-05,28.60,35000,10.668,218.818,0.80,3.7321E-08,9.5244E-06,4.40,1970,8200,3719,2,86.40,2.1946,183.00,4.6482,92.00,2.3368,19.9351,,,,,
