Manufacturer,Model,Application,Takeoff Thrust [lbf],Takeoff Thrust [N],Thrust (Cruise) [lbf],Thrust (Cruise) [N],"SFC (h=0,M=0) [lb/lbf hr]","SFC (h=0,M=0) [kg/s.N]",SFC (Cruise) [lb/lbf hr],SFC (Cruise) [kg/s.N],OPR_ Sea lvl,Cruise Altitude (h) [ft],Cruise Altitude (h) [Km],Cruise Temperature [K],Mach Number,C_a [Kg/N.m],C_b [Kg/N.s],BPR,Entry into service,Dry Mass [lb],Dry Mass [kg],Number of spools,Fan Diameter [in],Fan Diameter [m],Length [in],Length [m],Width/Diameter [in],Width/Diameter [m],Engine Volume [m^3],,,,,
Solovyev (Perm Aviadvigatel),PS-90A,"Il-96-300, Tu-204-100/-100C/-200/-200C, Tu-214, Tu-330 (Tu-204-330), Tu-134D (proposed), Tu-154M2 (not produced)",35275,156911,7716,34322,0.380,1.0677E-05,0.600,1.6861E-05,35.50,36090,11.000,216.658,0.80,3.2207E-08,9.2581E-06,4.60,1992,6504,2950,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Solovyev (Perm Aviadvigatel),PS-90A10,NA,20283,90223,7716,34322,NA,NA,0.600,1.6861E-05,23.10,36090,11.000,216.658,0.80,NA,NA,3.76,1992,4180,1896,2,55.10,1.3995,168.50,4.2799,NA,NA,NA,,,,,
Solovyev (Perm Aviadvigatel),PS-90A12,Yak-242,26455,117678,7716,34322,0.430,1.2082E-05,0.600,1.6861E-05,25.30,36090,11.000,216.658,0.80,2.7046E-08,1.0476E-05,5.05,1980,5070,2300,2,65.80,1.6713,188.20,4.7803,NA,NA,NA,,,,,
Solovyev (Perm Aviadvigatel),PS-90A-154,Tu-154M-2 (proposed),NA,NA,7716,34322,NA,NA,0.600,1.6861E-05,NA,36090,11.000,216.658,0.80,NA,NA,4.60,1992,4180,1896,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Solovyev (Perm Aviadvigatel),PS-90A2,"Il-96-300, Il-76TF, Tu-204-500/-600 (proposed)",NA,NA,7716,34322,NA,NA,0.600,1.6861E-05,NA,36090,11.000,216.658,0.80,NA,NA,4.60,1992,4180,1896,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Solovyev (Perm Aviadvigatel),PS-90AN-76,Il-76TF,35275,156911,7716,34322,0.440,1.2363E-05,0.600,1.6861E-05,35.50,36090,11.000,216.658,0.80,2.6014E-08,1.0720E-05,4.60,1971,6503,2950,2,74.80,1.8999,195.40,4.9632,NA,NA,NA,,,,,
Solovyev (Perm Aviadvigatel),PS-90AP,Tu-234,NA,NA,7716,34322,NA,NA,0.600,1.6861E-05,NA,36090,11.000,216.658,0.80,NA,NA,4.60,1992,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Pratt Whitney,PW2037,757-200/-200ET,38250,170144,6500,28913,0.335,9.4126E-06,0.582,1.6355E-05,27.40,35000,10.668,218.818,0.85,3.2344E-08,8.2023E-06,5.80,1982,7190,3261,2,78.50,1.9939,141.40,3.5916,84.80,2.1539,13.0868,,,,,
Pratt Whitney,PW2040,757-200/-200ET/-200F,40100,178374,6500,28913,0.330,9.2721E-06,0.582,1.6355E-05,29.90,35000,10.668,218.818,0.85,3.2830E-08,8.0799E-06,5.90,1982,7190,3261,2,78.50,1.9939,141.40,3.5916,84.80,2.1539,13.0868,,,,,
Pratt Whitney,PW2043,"757-300, 757-200/-200ET/-200F (option)",42600,189494,NA,NA,0.350,9.8341E-06,NA,NA,31.90,NA,NA,NA,NA,NA,NA,6.00,NA,7160,3248,2,78.50,1.9939,141.40,3.5916,84.80,2.1539,13.0868,,,,,
Pratt Whitney,PW2143,"A340-521, A340-621 (proposed)",42600,189494,NA,NA,0.350,9.8341E-06,NA,NA,31.20,NA,NA,NA,NA,NA,NA,6.00,NA,7160,3248,2,78.50,1.9939,141.40,3.5916,84.80,2.1539,13.0868,,,,,
Pratt Whitney,PW2237,Tu-204-140/-140C (proposed),36600,162805,6500,28913,0.335,9.4126E-06,0.582,1.6355E-05,27.90,35000,10.668,218.818,0.85,3.2344E-08,8.2023E-06,5.80,1989,7190,3261,2,78.50,1.9939,141.40,3.5916,84.80,2.1539,13.0868,,,,,
Pratt Whitney,PW2240,"Tu-204-240/-240C, Tu-330 (Tu-204-330) (proposed)",40100,178374,6500,28913,0.330,9.2721E-06,0.582,1.6355E-05,27.60,35000,10.668,218.818,0.85,3.2830E-08,8.0799E-06,5.90,1989,7190,3261,2,78.50,1.9939,141.40,3.5916,84.80,2.1539,13.0868,,,,,
Pratt Whitney,PW2337,Il-96M/T,36600,162805,6500,28913,0.335,9.4126E-06,0.582,1.6355E-05,27.40,35000,10.668,218.818,0.85,3.2344E-08,8.2023E-06,5.80,1988,7190,3261,2,78.50,1.9939,141.40,3.5916,84.80,2.1539,13.0868,,,,,
Pratt Whitney,PW2643,NA,42600,189494,NA,NA,0.350,9.8341E-06,NA,NA,31.20,NA,NA,NA,NA,NA,NA,6.00,NA,7160,3248,2,78.50,1.9939,141.40,3.5916,84.80,2.1539,13.0868,,,,,
Pratt Whitney Canada,PW305A,Learjet 60,4679,20813,1113,4951,0.388,1.0902E-05,0.675,1.8968E-05,15.50,40000,12.192,216.650,0.80,4.0311E-08,9.4528E-06,4.30,1990,993,450,2,30.70,0.7798,81.50,2.0701,36.50,0.9271,1.3974,,,,,
Pratt Whitney Canada,PW305B,BAe (Hawker) 1000,5258,23389,1113,4951,0.391,1.0986E-05,0.675,1.8968E-05,15.50,40000,12.192,216.650,0.80,4.0001E-08,9.5259E-06,4.30,1990,993,450,2,30.70,0.7798,81.50,2.0701,36.50,0.9271,1.3974,,,,,
Pratt Whitney Canada,PW306A,G200 (Galaxy),6040,26867,1250,5560,0.394,1.1070E-05,0.700,1.9671E-05,18.30,40000,12.192,216.650,0.80,4.2668E-08,9.5990E-06,4.50,1995,1040,472,2,31.70,0.8052,75.60,1.9202,NA,NA,NA,,,,,
Pratt Whitney Canada,PW306B,"328JET, Envoy 3",6050,26912,1130,5026,0.400,1.1239E-05,0.680,1.9109E-05,NA,40000,12.192,216.650,0.80,3.9668E-08,9.7451E-06,4.50,1999,1040,472,2,31.70,0.8052,75.60,1.9202,NA,NA,NA,,,,,
Pratt Whitney Canada,PW306C,Citation Sovereign,5686,25293,1130,5026,0.407,1.1436E-05,0.681,1.9137E-05,NA,40000,12.192,216.650,0.80,3.9064E-08,9.9157E-06,4.50,2002,990,449,2,31.70,0.8052,75.60,1.9202,NA,NA,NA,,,,,
Pratt Whitney Canada,PW307A,Falcon 7X,6100,27134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,31.70,0.8052,75.60,1.9202,NA,NA,NA,,,,,
Pratt Whitney Canada,PW308A,Hawker Horizon,6575,29247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.10,NA,NA,NA,2,31.70,0.8052,75.60,1.9202,NA,NA,NA,,,,,
Pratt Whitney Canada,PW308B,428JET (not produced),8089,35982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.10,NA,NA,NA,2,31.70,0.8052,75.60,1.9202,NA,NA,NA,,,,,
Pratt Whitney Canada,PW308C,Falcon 2000EX,7000,31138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.10,NA,NA,NA,2,31.70,0.8052,75.60,1.9202,NA,NA,NA,,,,,
Pratt Whitney,PW4052,767-200ER/-300ER,52200,232197,NA,NA,0.310,8.7102E-06,0.590,1.6580E-05,26.40,35000,10.668,218.818,0.80,3.7894E-08,7.5902E-06,4.85,1986,9210,4178,2,93.60,2.3774,132.20,3.3579,97.00,2.4638,16.0091,,,,,
Pratt Whitney,PW4056,"747-400/-400(M)/-400F, 767-200ER/-300/-300ER",56750,252436,NA,NA,0.320,8.9911E-06,0.580,1.6299E-05,28.40,35000,10.668,218.818,0.80,3.5677E-08,7.8350E-06,4.85,1987,9210,4178,2,93.60,2.3774,132.20,3.3579,97.00,2.4638,16.0091,,,,,
Pratt Whitney,PW4060,"767-300/-300ER, An-218-200/-300 (proposed)",60000,266893,NA,NA,0.330,9.2721E-06,NA,NA,30.00,NA,NA,NA,NA,NA,NA,4.85,NA,9210,4178,2,93.60,2.3774,132.20,3.3579,97.00,2.4638,16.0091,,,,,
Pratt Whitney,PW4060A,767-200ER,60000,266893,NA,NA,0.330,9.2721E-06,NA,NA,31.50,NA,NA,NA,NA,NA,NA,4.85,NA,9210,4178,2,93.60,2.3774,132.20,3.3579,97.00,2.4638,16.0091,,,,,
Pratt Whitney,PW4062,"767-300ER, 747-400/-400ER/-400F/-400FER, 767-200ER/-200FER/-300F/-400ER (option)",63300,281572,NA,NA,NA,NA,NA,NA,32.30,NA,NA,NA,NA,NA,NA,4.85,NA,9210,4178,2,93.60,2.3774,132.20,3.3579,97.00,2.4638,16.0091,,,,,
Pratt Whitney,PW4074,777-200,74500,331392,NA,NA,NA,NA,NA,NA,30.30,NA,NA,NA,NA,NA,NA,6.00,NA,14550,6600,2,112.00,2.8448,191.70,4.8692,118.50,3.0099,34.6457,,,,,
Pratt Whitney,PW4077,777-200,77000,342513,NA,NA,NA,NA,NA,NA,31.50,NA,NA,NA,NA,NA,NA,6.20,NA,14550,6600,2,112.00,2.8448,191.70,4.8692,118.50,3.0099,34.6457,,,,,
Pratt Whitney,PW4077D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.20,NA,14550,6600,2,112.00,2.8448,191.70,4.8692,118.50,3.0099,34.6457,,,,,
Pratt Whitney,PW4084,777-200,84000,373650,NA,NA,NA,NA,0.560,1.5737E-05,36.30,35000,10.668,218.818,0.83,NA,NA,6.41,1994,14550,6600,2,112.00,2.8448,191.70,4.8692,118.50,3.0099,34.6457,,,,,
Pratt Whitney,PW4084D,NA,NA,NA,NA,NA,NA,NA,0.560,1.5737E-05,NA,35000,10.668,218.818,0.83,NA,NA,6.41,1994,14500,6577,2,112.00,2.8448,191.70,4.8692,118.50,3.0099,34.6457,,,,,
Pratt Whitney,PW4090,777-200ER/-300,90200,401229,NA,NA,NA,NA,NA,NA,38.60,NA,NA,NA,NA,NA,NA,6.30,NA,15580,7067,2,112.00,2.8448,191.70,4.8692,118.50,3.0099,34.6457,,,,,
Pratt Whitney,PW4090-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.30,NA,15580,7067,2,112.00,2.8448,191.70,4.8692,118.50,3.0099,34.6457,,,,,
Pratt Whitney,PW4090D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.30,NA,15580,7067,2,112.00,2.8448,191.70,4.8692,118.50,3.0099,34.6457,,,,,
Pratt Whitney,PW4098,777-300,98000,435926,14000,62275,0.380,1.0677E-05,0.581,1.6327E-05,42.80,35000,10.668,218.818,0.83,2.8533E-08,9.3041E-06,5.80,1985,16500,7484,2,112.00,2.8448,194.70,4.9454,119.50,3.0353,35.7843,,,,,
Pratt Whitney,PW4152,A310-324/-324ET/-324F,52001,231312,NA,NA,0.312,8.7664E-06,0.574,1.6130E-05,27.30,35000,10.668,218.818,0.80,3.5792E-08,7.6391E-06,4.85,1986,9210,4178,2,93.60,2.3774,132.20,3.3579,97.00,2.4638,16.0091,,,,,
Pratt Whitney,PW4156,A310-325ET,56750,252436,NA,NA,0.320,8.9911E-06,NA,NA,30.20,NA,NA,NA,NA,NA,NA,4.85,NA,9210,4178,2,93.60,2.3774,132.20,3.3579,97.00,2.4638,16.0091,,,,,
Pratt Whitney,PW4156A,A310-325ET,55995,249078,NA,NA,0.320,8.9911E-06,NA,NA,29.80,NA,NA,NA,NA,NA,NA,4.85,NA,9210,4178,2,93.60,2.3774,132.20,3.3579,97.00,2.4638,16.0091,,,,,
Pratt Whitney,PW4158,"A300B4-622/-622R/-622RF, A300F4-622R",58000,257997,NA,NA,0.323,9.0754E-06,0.580,1.6299E-05,30.70,31000,9.449,226.743,0.78,3.5032E-08,8.0504E-06,4.75,NA,9210,4178,2,93.60,2.3774,132.20,3.3579,97.00,2.4638,16.0091,,,,,
Pratt Whitney,PW4164,"A330-321, A330-221 (option)",64502,286919,NA,NA,NA,NA,NA,NA,32.00,NA,NA,NA,NA,NA,NA,5.10,NA,12400,5625,2,99.80,2.5349,163.10,4.1427,106.90,2.7153,23.9884,,,,,
Pratt Whitney,PW4168,A330-222/-322,68600,305148,NA,NA,NA,NA,0.570,1.6018E-05,33.40,35000,10.668,218.818,0.80,NA,NA,5.10,1993,12400,5625,2,99.80,2.5349,163.10,4.1427,106.90,2.7153,23.9884,,,,,
Pratt Whitney,PW4168A,A330-223/-323X,68600,305148,NA,NA,NA,NA,0.570,1.6018E-05,32.00,35000,10.668,218.818,0.80,NA,NA,5.10,1993,12400,5625,2,99.80,2.5349,163.10,4.1427,106.90,2.7153,23.9884,,,,,
Pratt Whitney,PW4460,MD-11/-11F/-11F(AF),60000,266893,NA,NA,0.330,9.2721E-06,NA,NA,31.50,NA,NA,NA,NA,NA,NA,4.85,NA,9210,4178,2,93.60,2.3774,132.20,3.3579,97.00,2.4638,16.0091,,,,,
Pratt Whitney,PW4462,MD-11/-11F/-11F(CF),63300,281572,NA,NA,NA,NA,NA,NA,32.30,NA,NA,NA,NA,NA,NA,4.85,NA,9210,4178,2,93.60,2.3774,132.20,3.3579,97.00,2.4638,16.0091,,,,,
Pratt Whitney Canada,PW530,Citation Bravo,2923,13002,607,2700,0.440,1.2363E-05,0.760,2.1357E-05,NA,40000,12.192,216.650,0.80,4.5063E-08,1.0720E-05,4.00,1995,606,275,2,22.80,0.5791,60.00,1.5240,NA,NA,NA,,,,,
Pratt Whitney Canada,PW535A,Citation Encore,2748,12224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.60,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Pratt Whitney Canada,PW545A,Citation Excel,3784,16832,NA,NA,NA,NA,NA,NA,15.70,NA,NA,NA,NA,NA,NA,4.12,NA,815,370,2,27.20,0.6909,68.00,1.7272,32.00,0.8128,0.8962,,,,,
Pratt Whitney Canada,PW610F,Eclipse 500,1112,4946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Pratt Whitney,PW6122,"A318-121, Il-214 (candidate engine), A316/A317 (A31X) (not produced)",22000,97861,NA,NA,0.360,1.0115E-05,0.613,1.7226E-05,27.20,39000,11.887,216.650,0.80,3.5820E-08,8.7706E-06,4.90,NA,4120,1869,2,56.50,1.4351,92.00,2.3368,60.00,1.5240,4.2627,,,,,
Pratt Whitney Canada,PW615F,"Citation Mustang, Eclipse 500, ProJet (candidate engine)",1350,6005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Pratt Whitney,PW6162,A318-122,24000,106757,NA,NA,0.370,1.0396E-05,NA,NA,29.60,NA,NA,NA,NA,NA,NA,4.90,NA,4120,1869,2,56.50,1.4351,92.00,2.3368,60.00,1.5240,4.2627,,,,,
Pratt Whitney Canada,PW625F,Technology demonstrator,2500,11121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Pratt Whitney Canada,PW645,Citation CJ3 (candidate engine),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Pratt Whitney Canada,PW800 (AFTI),Technology demonstrator,12500,55603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.80,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Pratt Whitney,PW8160,"A340-521, A340-621 (proposed)",65000,289134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Soyuz,R123-300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.00,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Soyuz,R126-300,Tu-324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Soyuz,R127-300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Rolls-Royce,RB.141-3,HFB 314 (not produced),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Rolls-Royce,RB.162-86,Trident 3B (booster),5250,23353,NA,NA,1.120,3.1469E-05,NA,NA,4.30,NA,NA,NA,NA,NA,NA,NA,NA,520,236,1,NA,NA,97.70,2.4816,NA,NA,NA,,,,,
Rolls-Royce,RB.178,NA,28500,126774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Rolls-Royce,RB.178-51,747-100 (proposed),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Rolls-Royce,RB.199-34R-04 MK.103,747-400/-400F (option),9150,40701,7868,34999,0.640,1.7982E-05,0.980,2.7539E-05,23.50,35000,10.668,218.818,0.90,4.4473E-08,1.5670E-05,1.06,NA,2339,1061,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Rolls-Royce,RB.202,"Do 231C (lift engines, not produced)",13100,58272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,,,,,
Rolls-Royce,RB.207,"A300, L1011-1-1 (candidate engine)",47500,211290,NA,NA,0.540,1.5173E-05,NA,NA,27.00,NA,NA,NA,NA,NA,NA,5.00,NA,NA,NA,3,NA,NA,128.70,3.2690,NA,NA,NA,,,,,
Rolls-Royce,RB.211-22-02,L1011-1,40600,180598,NA,NA,NA,NA,NA,NA,27.00,NA,NA,NA,NA,NA,NA,4.80,NA,7190,3261,3,84.80,2.1539,119.40,3.0328,NA,NA,NA,,,,,
Rolls-Royce,RB.211-22B-02,"L1011-1/-1F/-50/-100/-150, L1011-400 (not produced)",42000,186825,9495,42236,0.373,1.0480E-05,0.628,1.7648E-05,24.50,35000,10.668,218.818,0.85,3.3781E-08,9.1327E-06,4.80,1970,9210,4178,3,NA,NA,NA,NA,NA,NA,NA,,,,,
Rolls-Royce,RB.211-22C-02,L1011-1/-50/-100/-150 (option),42000,186825,NA,NA,NA,NA,NA,NA,24.50,NA,NA,NA,NA,NA,NA,4.80,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,,,,,
Rolls-Royce,RB.211-22CA-02,L1011-1/-50/-100/-150 (option),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,,,,,
Rolls-Royce,RB.211-23,L1011-1/-50/-100/-150 (option),38380,170723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,,,,,
Rolls-Royce,RB.211-24,"(see RB,211-524), L1011-2 (not produced)",50000,222411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,,,,,
Rolls-Royce,RB.211-40,BAC 311 (not produced),43040,191451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,,,,,
Rolls-Royce,RB.211-52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.40,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,,,,,
Rolls-Royce,RB.211-524,"L1011-100/-200, 747-SP (option), L-1011-300 (not produced)",48000,213515,NA,NA,NA,NA,0.570,1.6018E-05,28.40,NA,NA,NA,NA,NA,NA,4.30,NA,NA,NA,3,84.80,2.1539,119.40,3.0328,NA,NA,NA,,,,,
Rolls-Royce,RB.211-524B-02,"747-SP, L1011-200/-200F/-500/-500F, 747-100 (option), L-1011-600 (not produced)",50000,222411,11000,48930,NA,NA,0.570,1.6018E-05,28.40,35000,10.668,218.818,0.85,NA,NA,4.50,NA,9810,4450,3,84.80,2.1539,119.40,3.0328,NA,NA,NA,,,,,
Rolls-Royce,RB.211-524B2-02,"L1011-200/-200F/-500, 747-SP/-100 (option)",50000,222411,11000,48930,NA,NA,0.570,1.6018E-05,28.40,35000,10.668,218.818,0.85,NA,NA,4.50,NA,9810,4450,3,NA,NA,NA,NA,NA,NA,NA,,,,,
Rolls-Royce,RB.211-524B3-02,NA,NA,NA,11000,48930,NA,NA,0.570,1.6018E-05,NA,35000,10.668,218.818,0.85,NA,NA,4.30,NA,9810,4450,3,85.80,2.1793,122.30,3.1064,NA,NA,NA,,,,,
Rolls-Royce,RB.211-524B4-02,L1011-200/-200F/-250/-500,50000,222411,11000,48930,NA,NA,0.606,1.7029E-05,29.00,35000,10.668,218.818,0.85,NA,NA,4.40,NA,9810,4450,3,85.80,2.1793,122.30,3.1064,NA,NA,NA,,,,,
Rolls-Royce,RB.211-524B4D-02,L1011-200/-500,50000,222411,11000,48930,NA,NA,0.570,1.6018E-05,28.60,35000,10.668,218.818,0.85,NA,NA,4.40,NA,9810,4450,3,84.80,2.1539,119.40,3.0328,NA,NA,NA,,,,,
Rolls-Royce,RB.211-524BD-02,"L1011-200/-200F/-500, 747-100 (option)",50000,222411,11000,48930,NA,NA,0.570,1.6018E-05,28.40,35000,10.668,218.818,0.85,NA,NA,4.50,NA,9810,4450,3,84.80,2.1539,119.40,3.0328,NA,NA,NA,,,,,
Rolls-Royce,RB.211-524C,747-SP/-100B/-200B/-300,51500,229083,11490,51110,0.410,1.1520E-05,0.642,1.8041E-05,28.60,35000,10.668,218.818,0.85,3.1748E-08,1.0039E-05,4.50,1972,9860,4472,3,84.80,2.1539,119.40,3.0328,NA,NA,NA,,,,,
Rolls-Royce,RB.211-524C2,747-SP/-100B/-200B/-300,51500,229083,11490,51110,NA,NA,0.642,1.8041E-05,28.60,35000,10.668,218.818,0.85,NA,NA,4.50,1972,9860,4472,3,84.80,2.1539,119.40,3.0328,NA,NA,NA,,,,,
Rolls-Royce,RB.211-524C4,"747-200B, 747-100B/-300 (option)",NA,NA,NA,NA,NA,NA,0.570,1.6018E-05,NA,NA,NA,NA,NA,NA,NA,4.50,NA,9860,4472,3,85.80,2.1793,122.30,3.1064,NA,NA,NA,,,,,
Rolls-Royce,RB.211-524D4,"747-SP/-200B/-200B(M)/-200B(SF)/-200F/-300, L1011-500H&H (not produced)",53000,235756,11230,49954,0.420,1.1801E-05,0.617,1.7338E-05,29.30,35000,10.668,218.818,0.85,2.7990E-08,1.0283E-05,4.40,1972,9870,4477,3,85.80,2.1793,122.30,3.1064,NA,NA,NA,,,,,
Rolls-Royce,RB.211-524D4B,747-200/-200F/-300 (option),53000,235756,11230,49954,NA,NA,0.601,1.6889E-05,29.60,35000,10.668,218.818,0.85,NA,NA,4.40,1970,9870,4477,3,86.30,2.1920,125.00,3.1750,NA,NA,NA,,,,,
Rolls-Royce,RB.211-524G,"747-400/-400F, 767-300ER (option)",58000,257997,11813,52547,NA,NA,0.570,1.6018E-05,32.90,35000,10.668,218.818,0.85,NA,NA,4.30,1970,9670,4386,3,86.30,2.1920,125.00,3.1750,NA,NA,NA,,,,,
Rolls-Royce,RB.211-524G/H,NA,NA,NA,11813,52547,NA,NA,0.570,1.6018E-05,NA,35000,10.668,218.818,0.85,NA,NA,4.30,NA,9670,4386,3,86.30,2.1920,125.00,3.1750,NA,NA,NA,,,,,
Rolls-Royce,RB.211-524G/H-T,NA,58000,257997,11813,52547,NA,NA,0.570,1.6018E-05,NA,35000,10.668,218.818,0.85,NA,NA,4.30,NA,9670,4386,3,86.30,2.1920,125.00,3.1750,NA,NA,NA,,,,,
Rolls-Royce,RB.211-524G2-T,747-400ER (option),NA,NA,NA,NA,NA,NA,0.570,1.6018E-05,NA,NA,NA,NA,NA,NA,NA,4.10,NA,9470,4296,3,86.30,2.1920,125.00,3.1750,NA,NA,NA,,,,,
Rolls-Royce,RB.211-524G3,767-300ER/-300FER (option),58000,257997,NA,NA,NA,NA,0.570,1.6018E-05,NA,NA,NA,NA,NA,NA,NA,4.10,NA,9670,4386,3,86.30,2.1920,125.00,3.1750,NA,NA,NA,,,,,
Rolls-Royce,RB.211-524G3-T,NA,NA,NA,NA,NA,NA,NA,0.570,1.6018E-05,NA,NA,NA,NA,NA,NA,NA,4.10,NA,9470,4296,3,86.30,2.1920,125.00,3.1750,NA,NA,NA,,,,,
Rolls-Royce,RB.211-524G4-T,767-300ER/-300FER (option),56400,250880,NA,NA,NA,NA,0.570,1.6018E-05,NA,NA,NA,NA,NA,NA,NA,4.10,NA,9670,4386,3,86.30,2.1920,125.00,3.1750,NA,NA,NA,,,,,
Rolls-Royce,RB.211-524G-T,"747-400/-400F, 767-300ER (option)",NA,NA,11813,52547,NA,NA,0.570,1.6018E-05,NA,35000,10.668,218.818,0.85,NA,NA,4.30,NA,9470,4296,3,86.30,2.1920,125.00,3.1750,NA,NA,NA,,,,,
Rolls-Royce,RB.211-524H,"747-400, 767-300ER, 767-300F/-300FER/-400F (option)",60600,269562,11813,52547,0.565,1.5875E-05,0.575,1.6158E-05,34.50,35000,10.668,218.818,0.85,9.2219E-09,1.3834E-05,4.10,1989,9670,4386,3,86.30,2.1920,125.00,3.1750,NA,NA,NA,,,,,
Rolls-Royce,RB.211-524H2,747-400/-400F,60000,266893,11813,52547,0.565,1.5875E-05,0.575,1.6158E-05,NA,35000,10.668,218.818,0.85,9.2219E-09,1.3834E-05,4.10,1989,9670,4386,3,86.30,2.1920,125.00,3.1750,NA,NA,NA,,,,,
Rolls-Royce,RB.211-524H2-T,747-400ER (option),59500,264669,11813,52547,0.565,1.5875E-05,0.575,1.6158E-05,NA,35000,10.668,218.818,0.85,9.2219E-09,1.3834E-05,4.10,1989,9470,4296,3,86.30,2.1920,125.00,3.1750,NA,NA,NA,,,,,
Rolls-Royce,RB.211-524H3,"767-300ER, 767-300FER (option)",60600,269562,11813,52547,0.565,1.5875E-05,0.575,1.6158E-05,NA,35000,10.668,218.818,0.85,9.2219E-09,1.3834E-05,4.10,1989,9670,4386,3,86.30,2.1920,125.00,3.1750,NA,NA,NA,,,,,
Rolls-Royce,RB.211-524H4,An-218-200/-300 (proposed),NA,NA,11813,52547,0.565,1.5875E-05,0.575,1.6158E-05,NA,35000,10.668,218.818,0.85,9.2219E-09,1.3834E-05,4.10,1989,9670,4386,3,86.30,2.1920,125.00,3.1750,NA,NA,NA,,,,,
Rolls-Royce,RB.211-524H-T,"747-400/-400F, 767-300ER, An-124-210 (option)",60600,269562,11813,52547,0.565,1.5875E-05,0.575,1.6158E-05,NA,35000,10.668,218.818,0.85,9.2219E-09,1.3834E-05,4.10,1989,9470,4296,3,86.30,2.1920,125.00,3.1750,NA,NA,NA,,,,,
